Sublect Id,Min X-Wrist,Min Y-Wrist,Min Z-Wrist,Min M-Wrist,Max X-Wrist,Max Y-Wrist,Max Z-Wrist,Max M-Wrist,Range X-Wrist,Range Y-Wrist,Range Z-Wrist,RangeM-Wrist,Mean X-Wrist,Mean Y-Wrist,Mean Z-Wrist,Mean M-Wrist,StDev X-Wrist,StDev Y-Wrist,StDev Z-Wrist,StDev M-Wrist,RMS X-Wrist,RMS Y-Wrist,RMS Z-Wrist,RMS M-Wrist,Activity
1,-4.60189713,-10.17831325,-0.312845668,7.680349682,0.598434601,8.687951807,8.327481354,11.95459011,5.200331731,18.86626506,8.640327022,4.274240428,-2.750025466,-2.293933629,4.560136234,9.502746283,1.480862703,7.073688021,2.539044007,1.221708823,3.120313761,7.406772044,5.213927172,9.580274872,Abduction
1,-5.847303878,-11.03012048,0.958660356,6.972871621,1.257804701,8.679518072,8.093496845,12.45600359,7.105108579,19.70963855,7.134836489,5.483131969,-2.835602882,-1.672740964,4.698195789,9.479427816,1.950704894,7.156298358,2.234641051,1.569784647,3.436023177,7.312810942,5.19756168,9.607190357,Abduction
1,-6.156733316,-11.65783133,-0.373852553,6.794723482,2.058480159,8.489156627,7.840309811,13.10638922,8.215213475,20.14698796,8.214162364,6.311665738,-3.225584705,-2.946279235,4.051437205,9.583390214,2.136366432,7.043496419,2.373056249,1.704754684,3.86312212,7.602961418,4.689384781,9.732371986,Abduction
1,-5.995626239,-11.91686747,-0.504948365,6.050199301,2.886343713,8.395180723,7.930097533,14.26777798,8.881969952,20.31204819,8.435045898,8.217578679,-3.13988981,-2.806773762,4.137531682,9.561206279,2.618655997,6.992392299,2.484996474,2.174854982,4.079224726,7.498551017,4.819311411,9.80276003,Abduction
1,-6.049709182,-10.28313253,0.434495123,6.83208589,1.866799974,8.451807229,8.037977625,12.96831177,7.916509156,18.73493976,7.603482502,6.13622588,-3.037585372,-2.207563588,4.81409272,9.482612378,2.455766303,6.759009198,2.224470425,1.851369095,3.897525403,7.074598225,5.297997417,9.659680168,Abduction
1,-6.775630784,-10.21927711,0.067128514,7.162662672,2.344362556,8.481927711,7.099672978,12.44864146,9.11999334,18.70120482,7.032544464,5.285978788,-3.281311905,-2.652952989,4.245853751,9.52981609,2.496253524,6.85385418,2.216398686,1.609243049,4.115482776,7.317987043,4.784510027,9.663419117,Abduction
1,-7.027011392,-11.78433735,0.037532989,5.884760447,2.437513424,8.346987952,7.158175559,14.55237981,9.464524816,20.1313253,7.12064257,8.667619363,-3.535438769,-2.805185961,4.021192565,9.526986267,2.743015211,6.897057337,2.161620265,2.223774355,4.465610338,7.410898022,4.559802919,9.780331684,Abduction
1,-6.43761188,-10.65783133,-1.159991394,5.705697605,2.425549721,8.168674699,7.217957544,13.71756204,8.863161601,18.82650603,8.377948938,8.011864435,-3.738666289,-3.486596386,3.733023851,9.525829411,2.48755548,6.541713991,2.520908607,2.032625454,4.483425059,7.382723429,4.497137931,9.738067316,Abduction
1,-6.986140028,-11.0060241,-0.197248996,5.625026697,2.957491501,8.119277108,7.169629948,14.15216825,9.943631529,19.12530121,7.366878944,8.527141553,-3.565841618,-3.560357559,3.686779869,9.55652397,2.852863224,6.66415979,2.338070192,2.259213131,4.55703201,7.523937383,4.358914736,9.817143789,Abduction
1,-6.795596772,-11.22048193,-0.31858864,5.776443834,2.566636939,8.387951807,7.735272519,14.1274581,9.362233711,19.60843374,8.053861159,8.351014266,-3.249620722,-3.342946787,3.774345716,9.547178988,2.672562253,6.86385236,2.502453643,2.183805795,4.198597607,7.602434317,4.521363489,9.791218372,Abduction
